Training Model...
| Epoch:   1 | Batch:    200/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0046 | Mean Training Loss: 11.0389 | Perplexity: 62251.6523 |
| Epoch:   1 | Batch:    400/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0050 | Mean Training Loss: 11.0378 | Perplexity: 62180.1523 |
| Epoch:   1 | Batch:    600/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 11.0315 | Perplexity: 61791.6602 |
| Epoch:   1 | Batch:    800/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 11.0268 | Perplexity: 61499.5312 |
| Epoch:   1 | Batch:   1000/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0050 | Mean Training Loss: 11.0282 | Perplexity: 61589.5703 |
| Epoch:   1 | Batch:   1200/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 11.0274 | Perplexity: 61539.5469 |
| Epoch:   1 | Batch:   1400/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0048 | Mean Training Loss: 11.0247 | Perplexity: 61370.9883 |
| Epoch:   1 | Batch:   1600/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 11.0251 | Perplexity: 61396.7422 |
| Epoch:   1 | Batch:   1800/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0048 | Mean Training Loss: 11.0234 | Perplexity: 61294.2500 |
| Epoch:   1 | Batch:   2000/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0047 | Mean Training Loss: 11.0207 | Perplexity: 61128.8672 |
| Epoch:   1 | Batch:   2200/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 11.0198 | Perplexity: 61073.5664 |
| Epoch:   1 | Batch:   2400/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0047 | Mean Training Loss: 11.0040 | Perplexity: 60113.0703 |
| Epoch:   1 | Batch:   2600/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0045 | Mean Training Loss: 11.0017 | Perplexity: 59973.1797 |
| Epoch:   1 | Batch:   2800/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0047 | Mean Training Loss: 10.9943 | Perplexity: 59536.3789 |
| Epoch:   1 | Batch:   3000/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0043 | Mean Training Loss: 10.9866 | Perplexity: 59078.7539 |
| Epoch:   1 | Batch:   3200/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0056 | Mean Training Loss: 10.9639 | Perplexity: 57753.8555 |
| Epoch:   1 | Batch:   3400/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0047 | Mean Training Loss: 10.9453 | Perplexity: 56685.3203 |
| Epoch:   1 | Batch:   3600/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0049 | Mean Training Loss: 10.9252 | Perplexity: 55556.6484 |
| Epoch:   1 | Batch:   3800/  8747 | Learning Rate: 0.0010000 | ms/batch 0.0047 | Mean Training Loss: 10.9045 | Perplexity: 54418.1133 |
